Bien	ADVgen	bien
de	PRE	de
boines	ADJqua	bon
gens	NOMcom	gens
est	VERcjg	estre
pais	NOMcom	paix
fourmee	VERppe	former
et	CONcoo	et
establie	VERppe	établir
entre	PRE	entre
mi	PROper	moi
,	PONfbl	,
Watier	NOMpro	Watier
,	PONfbl	,
segneur	NOMcom	seigneur
del	PRE.DETdef	de
Caisnoit	NOMpro	Quesnoy
,	PONfbl	,
et	CONcoo	et
çaus	PROdem	cil
de	PRE	de
le	DETdef	le
glise	NOMcom	église
devant	ADVgen	devant
dite	VERppe	dire
,	PONfbl	,
en	PRE	en
tel	DETind	tel
maniere	NOMcom	manière
ke	CONsub	que
,	PONfbl	,
tout	ADVgen	tout
ensi	ADVgen	ainsi
ke	CONsub	que
le	DETdef	le
glise	NOMcom	église
avoit	VERcjg	avoir
maintenut	VERppe	maintenir
lor	DETpos	lor
eue	NOMcom	eau
,	PONfbl	,
lor	DETpos	lor
escluse	NOMcom	écluse
,	PONfbl	,
lor	DETpos	lor
ventaile	NOMcom	vantaille
et	CONcoo	et
le	DETdef	le
cours	NOMcom	cours
del'eue	VERppe	délouer
et	CONcoo	et
le	DETdef	le
conduit	NOMcom	conduit
,	PONfbl	,
k'	CONsub	que
il	PROper	il
lour	PROper	leur
demeurjeiretaulement	ADVgen	demeurétément
par	PRE	par
le	DETdef	le
tiesmoignage	NOMcom	témoignage
de	PRE	de
le	DETdef	le
cartre	NOMcom	charte
ki	PROrel	qui
fu	VERcjg	estre
faite	VERppe	faire
par	PRE	par
