MAISTRE	NOMcom	maistre
ma	DETpos	mon
foy	NOMcom	foi
,	PONfbl	,
il	PROper	il
me	PROper	je
desclaira	VERcjg	déclarer
maintes	DETind	maint
fois	NOMcom	fois
et	CONcoo	et
bien	ADVgen	bien
largement	ADVgen	largement
le	DETdef	le
temps	NOMcom	temps
qu'	PROrel	que
on	PROind	on
voit	VERcjg	vëoir
presentement	ADVgen	présentement
;	PONfbl	;
moult	ADVgen	moult
de	PRE	de
fois	NOMcom	fois
m'	PROper	je
en	PROadv	en
est	VERcjg	estre
souvenu	VERppe	souvenir
.	PONfrt	.

Et	CONcoo	et
puis	ADVgen	puis
lors	ADVgen	lors
il	PROper	il
estoit	VERcjg	estre
tenu	VERppe	tenir
ung	PROind	un
des	PRE.DETdef	de.le
bons	NOMcom	bon
.	PONfrt	.

LE	PROper	il
DRAPPIERSëez	VERcjg	drepliser
vous	PROper	vous
,	PONfbl	,
beau	ADJqua	beau
Sire	NOMcom	seignor
!	PONfrt	!

il	PROimp	il
est	VERcjg	estre
bien	ADVgen	bien
temps	NOMcom	temps
de	PRE	de
vous	PROper	vous
le	PROper	il
dire	VERinf	dire
,	PONfbl	,
mais	CONcoo	mais
je	PROper	je
suis	VERcjg	être
ainsi	ADVgen	ainsi
gracïeux	ADJqua	gracieux
.	PONfrt	.

PATHELIN	NOMcom	patilin
Je	PROper	je
suis	VERcjg	être
bien	ADVgen	bien
.	PONfrt	.

Par	PRE	par
le	DETdef	le
corps	NOMcom	corps
precïeux	ADJqua	précieux
,	PONfbl	,
il	PROper	il
avoit	VERcjg	avoir
...	PONfrt	.
LE	DETdef	le
DRAPPIERVrayement	ADVgen	dropraiment
vousvousserrez	VERcjg	vouvoir
.	PONfrt	.

PATHELIN	NOMcom	patilin
Voulentiers.“Ha	VERcjg	volontiers
!	PONfrt	!

que	PROrel	que
vous	PROper	vous
verrez	VERcjg	voir
,	PONfbl	,
qu'	PROrel	que
il	PROper	il
medisoit	VERcjg	medire
,	PONfbl	,
de	PRE	de
grans	ADJqua	grand
merveilles	NOMcom	merveille
!	PONfrt	!

”	PONpdr	”
Ainsi	ADVgen	ainsi
m'	PROper	je
aist	VERcjg	avoir
Dieu	NOMpro	Dieu
,	PONfbl	,
que	CONsub	que
des	PRE.DETdef	de.le
oreilles	NOMcom	oreille
,	PONfbl	,
du	PRE.DETdef	de.le
nez	NOMcom	nef
,	PONfbl	,
de	PRE	de
la	DETdef	le
bouche	NOMcom	bouche
et	CONcoo	et
des	PRE.DETdef	de.le
yeulx	NOMcom	oeil
,	PONfbl	,
oncq	ADVgen	onques
enfant	NOMcom	enfant
ne	ADVneg	ne
resemblast	VERcjg	ressembler
mieulx	ADVgen	mieux
a	PRE	a
pere	NOMcom	père
!	PONfrt	!

Quel	DETint	quel
menton	NOMcom	menton
forché	VERppe	forcher
!	PONfrt	!

Vrayement	ADVgen	vraiment
c'	PROdem	ce
estes	VERcjg	estre
vous	PROper	vous
tout	ADVgen	tout
poché	VERppe	pocher
,	PONfbl	,
et	CONcoo	et
qui	PROrel	que
diroit	VERcjg	dire
a	PRE	a
vostre	DETpos	vostre
mere	NOMcom	mere
que	CONsub	que
ne	ADVneg	ne
feussiez	VERcjg	être
filz	NOMcom	fil
vostre	DETpos	vostre
pere	NOMcom	père
,	PONfbl	,
il	PROper	il
auroit	VERcjg	avoir
grant	ADJqua	grant
fain	NOMcom	faim
de	PRE	de
tancer	VERinf	tencher
.	PONfrt	.

Sans	PRE	sans
faulte	NOMcom	faute
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
puis	VERcjg	pöoir
pencer	VERinf	pencer
comment	ADVsub	comment
Nature	NOMcom	nature
,	PONfbl	,
en	PRE	en
ses	DETpos	son
ouvraiges	NOMcom	ouvrage
,	PONfbl	,
forma	VERcjg	former
deux	DETcar	deux
si	ADVgen	si
pareilz	ADJqua	pareil
visaiges	NOMcom	visage
,	PONfbl	,
et	CONcoo	et
l'	DETdef	le
ung	PROind	un
comme	CONsub	comme
l'	DETdef	le
aultre	PROind	autre
tachié	VERppe	tachier
.	PONfrt	.

Car	CONcoo	car
quoy	PROint	quoi
!	PONfrt	!

qui	PROrel	que
vous	PROper	vous
aroit	VERcjg	avoir
crachié	VERppe	crachier
tous	DETind	tous
deux	PROcar	deux
encontre	PRE	encontre
la	DETdef	le
paroy	NOMcom	paroi
d'	PRE	de
une	DETndf	un
maniere	NOMcom	manière
et	CONcoo	et
d'	PRE	de
ung	DETndf	un
arroy	NOMcom	arroi
,	PONfbl	,
si	ADVgen	si
seriez	VERcjg	estre
vous	PROper	vous
sans	PRE	sans
difference	NOMcom	diférance
